"","null_perEstimate","null_perEst.Error","null_perl.95..CI","null_peru.95..CI","null_perEff.Sample","null_perRhat","term","null_per_vidEstimate","null_per_vidEst.Error","null_per_vidl.95..CI","null_per_vidu.95..CI","null_per_vidEff.Sample","null_per_vidRhat","me_perEstimate","me_perEst.Error","me_perl.95..CI","me_peru.95..CI","me_perEff.Sample","me_perRhat","me_per_vidEstimate","me_per_vidEst.Error","me_per_vidl.95..CI","me_per_vidu.95..CI","me_per_vidEff.Sample","me_per_vidRhat","int_perEstimate","int_perEst.Error","int_perl.95..CI","int_peru.95..CI","int_perEff.Sample","int_perRhat","int_per_vidEstimate","int_per_vidEst.Error","int_per_vidl.95..CI","int_per_vidu.95..CI","int_per_vidEff.Sample","int_per_vidRhat"
"Intercept[1]",-3.1043699994021,0.046757964357212,-3.19607473853433,-3.0128935628782,990.902905746092,1.00269391976671,"Intercept[1]",-3.95479968275192,0.317502273922772,-4.5683401347226,-3.31134758542504,356.653844019443,1.00809796609095,-2.18431871101715,0.291034887746735,-2.76503942519063,-1.62666430487016,700.015567646184,1.00127818245691,-2.2716916394296,1.07988015975492,-4.29313308748179,-0.0479250025197246,1096.13345956653,1.0010250951837,-2.29715685006917,0.296892395250591,-2.88522246319876,-1.70595488923743,858.461699247603,1.00317405243699,-2.39836664415237,1.66921130597469,-5.58791840685885,0.940333060146796,2095.4416533915,1.00024312281512
"Intercept[2]",-1.80919740401595,0.0401768182159626,-1.89001393017579,-1.73297331662087,848.652624297672,1.00311464823997,"Intercept[2]",-2.34212102042924,0.31662641422939,-2.9548535114943,-1.70242954385278,354.874857495544,1.00838878955972,-0.620883633896672,0.289652314575443,-1.1887240795325,-0.0670234734218757,688.056944121138,1.00146325760367,-0.646348784974167,1.08053547163084,-2.66707707391854,1.59969579101425,1096.93407105122,1.00100147290219,-0.70209847023547,0.296579835173754,-1.28703720393298,-0.116841002022889,839.254458972522,1.00292514884018,-0.772294804205437,1.66890620834527,-3.97013251803564,2.54878417018423,2090.94999001314,1.00022614521028
"Intercept[3]",-0.646722656628214,0.0374516095585195,-0.721687973496292,-0.572783767270116,785.837207248623,1.0031736626211,"Intercept[3]",-0.859928519892673,0.316431765909684,-1.47383525121931,-0.216666137543931,355.162336688589,1.00830073050027,0.805705363426334,0.289280879718109,0.242483753670352,1.36911926671559,676.33938788991,1.00150164235469,0.844605551328928,1.08043342804796,-1.18915900632932,3.06515123942339,1096.80782116729,1.00095601854345,0.757823654023845,0.297431709372574,0.168802730050226,1.34302286968902,837.742687186378,1.00281544271965,0.719673327897225,1.66914607636832,-2.46778107565615,4.0258891672679,2091.03773196683,1.00021414161709
"Intercept[4]",0.0311965477740193,0.0368061865196327,-0.0401120820632282,0.105085201572173,763.283060142014,1.00314328216284,"Intercept[4]",0.0155199822257716,0.316248122037663,-0.599099043874136,0.660023238062605,355.180323058644,1.00844504034094,1.64805298202288,0.289412167072109,1.08624927026494,2.21609139384612,682.263585250697,1.00141364298785,1.72829970854288,1.08073536434816,-0.297495071581253,3.94645334662374,1098.94916910096,1.00091277788001,1.62188723126043,0.297786792899352,1.04179762969802,2.21147344797259,835.462986935893,1.00272954348934,1.60341943688619,1.66977000258502,-1.60871458518953,4.92045295600473,2092.06051087851,1.00021481024769
"Intercept[5]",0.774881564584135,0.036835525067547,0.702207953959602,0.846800436376842,836.014819878764,1.00278031153014,"Intercept[5]",0.972898992945898,0.316220366524046,0.356218269147018,1.61373965336347,355.15661156655,1.00826786564832,2.56546770793067,0.289792643851904,2.00748655863413,3.13404285485367,680.568214376591,1.00147933814124,2.69194221855557,1.08173075236887,0.671580638244149,4.90172190654605,1097.55464242729,1.00089873228442,2.56444580564054,0.29807558263944,1.9765805926669,3.15612718681352,849.422819292871,1.0025861169204,2.56683348509971,1.67044927527886,-0.640375298865301,5.88384102613975,2091.75568472614,1.00020500936774
"Intercept[6]",2.19764553127336,0.0419475535482807,2.11761379003015,2.28114337587188,1098.93911210537,1.00125120984704,"Intercept[6]",2.7624701979725,0.31678326680164,2.14795989927135,3.41068203218799,359.10704159834,1.00793741415147,4.28003072110327,0.291244425948403,3.70496755547957,4.84398292590928,701.763391945884,1.00145188735842,4.48682829998118,1.0816952090166,2.44756429559146,6.71320848396651,1097.94918339676,1.00092064755939,4.32355586993184,0.299356558716807,3.7428651355899,4.91486954747503,852.880049728913,1.00237304930425,4.36209004709334,1.67002786055226,1.18724362943567,7.70507038495879,2090.80318095271,1.00020442812864
"sd(person_ID)",1.79033104088703,0.0355564086930166,1.72031361378281,1.85853526183052,810.004570991424,1.00211209946081,"sd(person_ID)",2.1782367734973,0.0396627609629569,2.1021278513717,2.2592859098579,781.394803119443,1.00165513329627,1.63174386744356,0.0325038306998011,1.56877526166605,1.69559791389592,821.022335671276,1.00369158625919,1.71249392000507,0.0338499818688287,1.64415842892948,1.77690660282285,849.673817767408,1.00080378080093,1.67925020787343,0.0329993252515813,1.61687101904545,1.74440600710053,1038.38948167554,1.00128251099563,1.71173657067073,0.0345239537239393,1.64680205815176,1.78184758537981,771.401259972972,1.0071648952129
"sd(video_name)",NA,NA,NA,NA,NA,NA,"sd(video_name)",1.57125197894645,0.247546175819571,1.1744762977013,2.1270843198482,552.084606890736,1.00507212865883,NA,NA,NA,NA,NA,NA,0.725747349124542,0.160858593921655,0.497801543564305,1.10495530651391,838.125444837291,1.00287261281413,NA,NA,NA,NA,NA,NA,0.806611651792044,0.245000622865505,0.46781569157272,1.40508184679613,815.738887689253,1.00031749067201
"female1",NA,NA,NA,NA,NA,NA,"female1",NA,NA,NA,NA,NA,NA,-0.339337593565361,0.075878825466914,-0.490869842120411,-0.193597820805517,757.335118046782,1.00785240197721,-0.368148675924461,0.0763447911826022,-0.518271917210775,-0.21850225609439,776.064830724746,1.00059486521411,-0.338661398656008,0.0748711635721361,-0.482730501413587,-0.190991851548539,982.568424385612,1.00118645751793,-0.366005403220411,0.0786054995920969,-0.519549236778659,-0.206690028237821,1412.29219952697,1.00102371094329
"op_like_biking",NA,NA,NA,NA,NA,NA,"op_like_biking",NA,NA,NA,NA,NA,NA,0.610208543921866,0.182452312628095,0.248409203730073,0.9834021886024,814.792302361342,1.00138905171879,0.605531932578724,0.191427274177961,0.245789656353005,0.994097929848746,516.270195153877,1.00694492499058,0.487115280108567,0.152403099697019,0.182489943171105,0.785027138219823,926.103937683166,1.00005616154026,0.500694508911821,0.154220018715484,0.212868027488216,0.796324942318791,1082.46164781625,1.00400151959004
